Browser Size,Sessions,Pageviews
410x720,231490,285997
1900x940,128757,244655
380x550,109989,140119
1350x660,100524,154232
1260x580,96656,193744
1260x610,96278,177411
(not set),95195,119120
380x640,93748,117075
1900x970,88648,158464
1350x630,83589,136363
1520x720,78045,137956
1260x960,70899,81394
1520x750,68129,116960
410x620,46747,57228
390x660,42793,52999
1440x820,37693,60698
1370x620,33031,44225
1440x790,32462,54458
1350x770,30769,37420
360x560,30537,38085
410x710,29485,36546
360x630,27247,33787
360x650,25540,31589
360x670,23659,29595
380x630,23474,29712
1440x840,23134,33377
360x610,23102,29184
410x730,22860,28370
410x700,21682,27334
430x750,21434,25574
410x760,20980,25640
1280x720,19674,23245
1370x650,18851,25983
320x450,18274,23292
410x690,17987,22706
410x780,17704,21767
360x620,17365,22082
1900x880,17274,34026
1260x720,15915,17421
1440x730,15913,27614
380x540,15575,19557
1590x1200,14840,14973
1580x760,14651,25584
360x590,14025,17530
1580x790,13304,22199
1020x670,12736,17778
380x810,12258,13124
1900x910,12227,23590
360x660,12169,15092
1440x740,12074,20233
1440x710,12059,22375
1010x1020,11828,11951
410x750,11645,14370
1440x760,11405,19729
1350x600,11312,17586
1520x700,11286,18043
410x770,11087,13923
1440x720,10759,19028
1370x670,10357,13752
360x520,9870,12220
380x620,9649,12107
1260x520,9588,19250
360x600,9552,12073
1440x700,9494,17060
380x560,9262,11791
360x510,9169,11657
360x570,8909,11245
1260x550,8908,18612
1440x690,8902,15434
1350x570,8851,14282
1900x980,8847,15380
1440x750,8772,14588
1350x800,8707,15436
1520x670,8686,15731
1350x640,8316,12207
410x610,8313,10390
410x740,8299,10328
380x610,8131,10753
1420x760,7867,19723
1900x950,7647,13239
1260x620,7361,13259
1440x770,7317,14160
360x680,7273,9267
1660x910,6930,12935
390x670,6900,8815
1520x760,6704,11523
410x680,6632,8150
410x650,6571,8090
390x730,6546,8563
1350x650,6370,9950
380x720,6293,7663
1020x700,6281,8244
1260x590,6224,10085
1900x1060,6152,11361
360x640,6045,7501
410x790,6045,7497
410x600,5979,8240
380x580,5975,6822
1420x790,5935,12107
380x530,5912,8146
1260x880,5898,10037
1350x610,5875,9025
1260x910,5840,9641
320x490,5836,7456
1900x920,5808,9493
770x920,5803,8131
1280x690,5749,10108
1490x860,5725,10840
1440x800,5641,9905
1080x710,5576,7735
1520x730,5465,9945
1520x710,5443,8735
410x670,5343,6683
320x510,5297,6778
1260x560,5250,8941
1370x920,5242,8038
1430x790,5180,8696
1440x680,5088,9462
1490x890,5085,9266
1660x940,4951,8716
430x740,4898,5914
2540x1300,4600,7978
1350x700,4554,6622
320x440,4504,5770
1430x820,4464,7571
390x680,4435,6089
1350x670,4321,7108
1370x700,4285,5961
320x530,4280,5460
410x800,4225,5276
410x900,4164,5139
410x810,4140,5326
1110x730,4103,5946
390x720,4090,5029
1900x1010,4089,6686
1260x650,4056,6957
1900x930,4036,7435
1440x810,3948,6704
1920x970,3945,6170
1540x750,3892,5831
380x670,3802,4651
1260x660,3794,6325
380x730,3759,4665
1260x690,3753,6527
1920x940,3643,6090
1190x730,3632,5352
410x830,3632,4318
410x660,3608,4151
360x580,3598,4718
1280x630,3566,5952
1520x740,3554,5521
1900x1090,3550,6350
380x520,3502,4310
1280x610,3463,5928
1900x960,3437,5689
1280x650,3434,5792
1020x650,3426,5067
1280x740,3407,5340
1280x660,3381,5509
320x460,3332,4185
2540x1330,3324,5709
1430x730,3308,5943
1900x890,3305,6375
940x930,3242,5988
1300x580,3167,4316
1280x670,3156,5566
1540x710,3145,4524
1280x640,3137,5290
1430x710,3005,5679
360x700,3002,3894
1260x600,3001,5453
1520x790,2977,4712
410x590,2970,3783
1350x620,2969,4577
1370x660,2914,4425
1480x860,2905,5704
1430x720,2834,4981
410x630,2785,3544
790x600,2735,10267
1280x620,2682,4506
750x710,2629,4462
1520x660,2594,4690
940x960,2515,4212
1260x740,2513,3904
1430x740,2459,4504
1370x770,2447,3336
1430x690,2426,4510
320x560,2422,3175
320x480,2392,3021
800x600,2381,5802
1020x640,2379,3259
1430x700,2368,4523
380x490,2351,2690
380x650,2339,3112
390x650,2337,2946
1260x570,2336,4317
1430x760,2336,4551
1440x670,2333,4230
1280x700,2318,4005
320x570,2290,2910
360x690,2253,2873
750x740,2250,3985
1320x670,2245,3145
390x640,2228,2651
1350x580,2211,3520
810x980,2199,2968
1020x660,2193,3236
1480x890,2182,3676
1900x900,2168,3814
380x680,2150,2674
1420x730,2116,4364
1280x600,2113,3908
1340x630,2103,4215
320x540,2101,2753
1420x700,2094,4758
1320x750,2064,3408
1430x840,2061,3254
1280x710,2058,4102
1270x630,2052,4009
380x700,2024,2444
2030x1010,2021,4022
1440x660,2017,3748
380x500,1989,2509
1370x610,1979,2900
1370x690,1978,3077
1910x970,1972,3764
1350x710,1970,3373
1430x750,1956,3901
1430x770,1946,3638
1340x660,1924,2954
360x710,1907,2504
1350x750,1906,3227
320x520,1906,2436
1260x710,1897,3378
1690x820,1888,3448
770x950,1888,2690
380x590,1835,2171
1270x690,1824,3521
770x910,1824,2575
1270x720,1811,3200
1580x730,1796,3128
1300x610,1794,2606
320x580,1785,2367
1320x730,1778,3063
1270x650,1772,3103
1680x810,1760,4053
1840x980,1745,3608
710x820,1741,2576
1680x940,1739,2889
1200x650,1723,3053
1580x700,1714,3341
320x550,1708,2149
1260x530,1702,3200
1420x710,1673,3318
1010x660,1660,2546
1080x510,1652,3686
390x700,1647,2214
1420x690,1645,3409
1180x710,1633,2651
1250x590,1632,3008
1370x640,1624,2338
1250x560,1617,3090
1430x680,1617,2737
1370x910,1616,2516
1420x740,1600,2849
1520x780,1599,2628
430x730,1599,1992
1440x650,1589,2934
1520x690,1587,2741
980x1610,1586,2120
1330x730,1568,3371
1080x700,1561,2278
1080x740,1551,2294
420x810,1545,1953
1920x1080,1538,1737
1260x630,1537,2620
430x720,1537,1778
1500x730,1530,4468
1080x470,1526,3673
380x710,1522,1891
1300x630,1519,2229
1270x610,1514,2796
1280x580,1511,2733
1680x970,1495,2319
320x590,1495,1967
1440x780,1490,2344
1240x550,1487,2104
830x1010,1485,2233
1370x710,1482,2342
1370x630,1481,2226
1320x760,1456,2497
320x430,1450,1955
390x740,1444,1748
1420x750,1437,2591
1280x680,1430,2238
1420x720,1430,2455
410x840,1420,1773
1320x740,1417,2318
1400x680,1417,3504
1440x900,1408,2024
380x600,1407,1811
1920x930,1406,2220
1020x620,1403,2146
1280x590,1393,2570
1010x630,1390,2172
1020x770,1390,1620
1430x800,1388,2613
1520x820,1382,2580
1440x640,1379,2473
390x710,1354,1646
710x790,1353,2140
410x850,1347,1694
620x570,1329,2394
360x480,1328,1692
1270x670,1315,2484
1190x720,1304,2024
1320x700,1303,2259
660x650,1297,1881
1320x720,1296,2390
620x600,1289,2113
1920x1000,1288,2334
410x820,1272,1630
1920x960,1270,1856
1360x690,1269,2116
1110x720,1264,1908
1300x660,1248,2005
360x720,1232,1591
1580x800,1225,2127
1330x640,1224,2046
1540x720,1223,1960
1690x850,1221,2174
410x560,1202,1420
1260x750,1197,1764
1260x540,1196,2176
1280x760,1196,1796
660x620,1196,1803
2110x1040,1194,2621
1200x680,1193,2389
1290x700,1193,1848
1500x690,1181,3965
1260x730,1175,1975
1910x940,1172,2238
1270x620,1164,1999
1350x690,1164,2202
1420x800,1162,2285
1520x850,1161,2128
1410x710,1156,1994
1350x590,1152,2325
1330x700,1145,2314
1080x500,1138,1913
1350x740,1132,1971
2030x1040,1132,2189
1320x710,1124,1999
1580x770,1123,1720
1290x670,1117,1769
1910x1000,1117,1993
1260x700,1110,1886
1270x640,1108,2068
1020x680,1104,1537
1900x1000,1104,1993
1080x750,1088,1397
1410x720,1086,1928
830x1090,1086,1521
1270x660,1084,1857
1270x740,1084,1800
1410x740,1078,1831
1270x700,1069,1853
320x500,1066,1342
420x800,1066,1410
1420x680,1063,2115
1260x760,1059,1585
1400x730,1054,1900
1020x1260,1052,1575
1010x770,1051,1123
410x550,1051,1314
1030x1610,1047,1058
360x540,1047,1440
770x900,1045,1498
940x940,1043,1824
1410x700,1042,1931
1420x770,1042,1863
1310x630,1026,1540
1180x690,1025,1616
1440x860,1025,1531
750x750,1023,1704
750x720,1020,1621
1920x980,1019,1555
390x690,1019,1284
1660x850,1017,1967
1410x730,1011,1958
1270x600,1003,1874
1400x710,1000,1730
1220x580,998,1828
1200x620,996,1887
1410x690,994,1892
320x420,992,1280
1260x670,989,1917
1440x630,987,1967
1180x660,986,1702
1390x710,986,1758
1730x850,984,2006
420x780,980,1252
1200x840,978,1629
1420x850,976,1627
1020x690,974,1715
1400x640,971,2229
1260x860,969,1713
1680x880,969,1572
1350x730,965,1564
1540x760,965,1560
1200x700,963,1660
1910x950,963,1778
1080x480,958,1716
1270x710,957,1720
1240x580,950,1393
1380x690,944,1769
1260x640,942,1841
1380x710,939,1811
1220x610,938,2002
1330x610,938,2138
1420x820,934,1571
1910x980,934,1865
1110x760,931,1295
360x550,929,1127
1220x600,926,1838
1580x740,926,1478
1400x740,925,1727
1350x720,916,1571
1400x690,915,1630
1350x810,914,2553
380x510,903,1135
1240x600,902,1503
1370x950,902,1427
1200x670,900,1828
1390x740,897,1562
1350x680,894,1553
940x970,894,1455
1410x750,893,1521
1490x840,892,1675
1790x1040,892,1447
1680x990,887,1355
1260x820,880,1547
1660x880,878,1471
1580x720,875,1778
1320x770,873,1388
1400x720,872,1490
2540x940,872,1438
1680x910,870,1490
1790x1010,867,1610
1370x720,866,1619
1390x730,859,1476
770x960,859,1117
1230x570,858,1872
1370x730,858,1541
1370x760,858,1473
1330x740,856,1557
1490x800,852,1586
1110x710,851,1239
390x750,848,1030
360x530,845,1068
1430x810,838,1214
380x690,838,1073
380x770,838,1068
1020x610,837,1120
1340x730,834,1567
1520x680,833,1537
1270x590,829,1503
1330x710,829,1453
1380x740,823,1566
1370x600,818,1344
1400x700,813,1606
390x770,813,974
1190x700,809,1405
1310x710,808,1312
1470x750,807,1314
1460x760,804,1661
1380x720,802,1335
1380x730,800,1424
600x800,800,1099
1340x670,799,2032
1920x910,799,1293
1390x760,796,1390
1390x720,794,1492
1370x740,793,1409
1400x770,793,1412
1280x730,792,1330
1730x880,789,1636
420x760,788,992
1200x690,786,1528
600x840,785,1088
720x790,785,1310
1190x760,783,1204
1310x740,783,1368
1020x630,782,1119
1380x660,780,1558
1510x710,779,1239
1400x760,771,1323
1060x1610,768,1255
1420x670,768,1573
1260x680,767,1377
1910x1200,767,828
1200x730,766,1327
1690x800,764,1813
1310x730,763,1399
320x400,761,908
1310x720,760,1348
1340x710,758,1393
1360x720,758,1206
1580x780,757,1784
2540x1240,757,1330
1330x720,755,1309
1390x690,754,1265
1680x890,753,1298
1230x600,752,1354
1410x760,752,1460
600x830,752,946
1340x740,750,1371
1360x730,750,1361
720x840,750,1021
1400x750,749,1331
1680x860,747,1352
1360x710,746,1307
1360x740,745,1344
1600x1200,745,765
1390x700,744,1375
1340x700,734,1295
1920x950,733,1184
1020x730,732,1045
1180x750,732,1078
1540x790,729,1111
1250x600,728,1434
1260x920,726,1368
940x920,726,1140
1910x910,725,1457
1250x570,723,1563
720x820,723,1121
1240x650,718,1203
1240x700,714,1317
1680x920,714,1266
1440x830,710,1133
1200x750,706,1313
1310x750,706,1190
1390x750,706,1088
1430x670,706,1141
1250x610,705,1192
1300x730,704,1024
1380x760,702,1269
1310x660,701,1022
1680x950,697,1154
800x1240,692,1012
1410x680,690,1320
1330x750,689,1168
1310x700,688,1233
1340x690,687,1261
1290x730,686,1272
1340x720,686,1194
1650x970,686,1158
1180x700,685,1321
1680x870,682,1194
1200x740,679,1199
1860x970,679,1217
1250x630,677,1144
1840x1010,677,1136
1270x750,676,1304
1380x700,675,1181
1240x670,674,1122
1350x760,674,1241
1250x710,673,1153
1340x750,672,1173
810x970,671,977
1370x750,669,1268
1800x880,668,1396
510x670,668,887
1390x770,667,1130
1440x850,666,912
1300x710,665,1123
1180x740,663,1479
1360x700,662,1138
1380x750,661,1191
1190x710,659,1121
1140x610,658,1807
1420x780,654,1046
1110x770,653,839
1380x680,653,1194
1390x800,653,1202
380x750,650,808
430x840,649,760
810x1010,649,839
1920x1610,646,767
360x460,645,890
1510x740,642,1084
1340x650,641,1080
1150x560,640,1828
1250x640,639,1493
1360x750,639,1127
1320x690,638,1087
1040x660,637,760
1200x600,637,1167
1370x680,637,1087
1200x720,635,1167
820x1070,634,883
1330x690,632,1173
1410x770,632,1115
1080x680,631,957
1290x740,631,1169
1680x840,631,1155
770x1020,631,781
1290x710,630,1181
1430x660,630,1216
1370x890,626,999
1290x690,624,1017
1330x760,624,1087
1080x530,623,1568
1400x800,623,1003
1200x710,622,1117
1300x740,619,1043
1080x690,613,886
1270x730,613,944
1680x850,613,1211
410x580,613,776
1240x710,612,1124
1250x700,612,1083
420x790,612,797
1400x670,610,1066
1580x750,610,1035
1260x1290,607,1006
1300x720,607,1101
360x470,607,811
1370x900,605,932
1250x740,604,1076
1580x830,603,1032
1340x640,601,893
710x840,597,805
600x780,596,899
1020x570,595,1100
1020x750,594,923
1300x700,594,1012
1420x660,594,1257
1190x520,593,905
1410x670,592,1054
2540x970,592,946
360x740,591,659
430x810,589,670
1200x630,587,957
1270x580,587,1133
1280x570,586,1082
1660x920,586,1005
800x1090,585,1093
2560x1330,584,1034
1240x630,583,988
1300x750,581,995
1360x760,579,951
1250x670,578,1063
1150x590,577,1367
1200x660,577,1050
530x730,577,810
1240x590,576,1049
1900x870,576,1063
1350x780,575,1060
380x760,574,768
760x710,574,883
1310x690,573,1051
1280x750,569,918
1900x1030,567,996
770x930,567,870
680x610,565,778
1380x770,564,983
770x880,564,839
1250x650,561,953
1360x680,561,1134
1250x730,560,1040
1290x640,560,1744
400x300,558,621
2540x1250,556,1451
1240x660,553,1033
1230x670,551,1088
420x720,551,707
1250x580,550,1103
1430x650,546,1046
1790x950,546,913
1230x700,545,928
1290x720,544,966
1330x620,544,987
1190x650,543,989
1310x670,543,846
1340x620,542,819
1400x660,542,1085
1230x750,541,1150
1250x690,541,975
1330x680,541,1004
1230x710,539,1117
1920x1020,539,833
1370x960,537,686
620x610,537,967
1260x770,536,826
1410x660,536,1282
390x840,536,613
1680x770,535,1237
1330x650,534,927
1660x950,534,957
1340x680,533,942
1010x490,532,898
1190x550,531,977
1250x720,531,861
680x920,529,776
1390x680,525,1021
1340x760,524,879
1450x680,524,915
1330x630,523,910
1460x790,523,874
1200x640,522,971
1870x940,522,1182
1360x660,521,830
1650x1000,520,980
390x760,518,642
1020x720,517,1052
1370x570,517,855
1190x670,516,969
380x740,516,658
1190x690,515,892
670x620,514,770
2540x1270,513,1042
1350x790,512,915
770x940,512,711
1250x660,511,786
910x930,511,801
320x410,510,617
2610x1610,509,982
1240x740,508,874
1310x760,508,813
1600x760,508,767
1110x700,507,801
1250x750,506,997
1190x740,505,829
1450x760,505,989
2610x1300,505,860
350x640,505,538
1320x680,503,1004
2110x1080,501,1661
1790x1060,500,676
1440x620,499,836
1200x760,498,745
1600x940,498,922
1370x800,496,979
1510x750,496,1128
1900x1100,496,811
1270x680,495,833
1310x650,495,911
1220x590,494,924
1220x710,494,913
1230x690,494,847
380x660,494,655
1360x670,492,842
1910x890,492,892
1240x640,490,788
1390x660,490,1250
760x740,490,739
1250x620,489,960
1920x890,489,985
770x710,489,768
1220x700,488,898
1300x690,488,860
1900x990,486,710
1190x770,485,726
1600x790,485,753
1520x770,484,928
1890x920,483,864
1900x860,482,949
1680x830,481,850
390x630,481,657
1290x750,480,851
1310x620,479,872
830x1000,478,689
1210x710,477,852
1240x730,477,980
1380x670,477,1013
1280x800,475,764
1330x660,474,897
1230x740,473,888
540x710,472,620
720x730,472,692
1310x640,471,772
390x780,471,588
620x580,471,779
1240x690,470,883
420x830,470,586
1420x650,469,925
1680x900,469,830
1230x720,467,820
1360x630,467,856
720x710,467,758
1480x800,466,897
1190x560,464,729
1240x560,463,864
1260x900,463,788
1430x780,463,877
770x740,463,678
1240x720,460,819
1290x680,460,778
1310x680,460,719
1230x580,459,851
1240x620,458,756
1450x710,458,897
800x1110,458,667
1020x860,455,524
1380x800,455,868
1360x770,454,768
1150x530,451,837
1150x610,451,1013
1290x630,451,762
1230x610,450,915
1010x460,449,924
320x620,448,618
1480x720,447,795
1330x600,446,794
1420x830,446,1109
1140x540,445,714
1220x740,445,869
1240x610,445,875
1260x940,445,763
1920x880,445,888
1190x600,444,767
1830x980,444,827
380x780,444,515
1400x630,443,743
1860x940,441,783
1500x670,440,1241
670x660,440,620
1220x730,439,734
1210x720,437,763
1280x960,437,537
780x600,437,659
670x330,436,531
1080x650,435,580
1080x720,435,625
1600x970,434,794
1220x680,433,756
1250x680,433,719
1380x650,433,800
1200x590,432,742
1210x700,432,784
1230x650,431,772
1230x730,431,750
1660x890,431,667
1220x750,430,902
1330x770,430,679
1790x930,429,824
1320x810,428,796
1320x800,427,789
1790x980,427,751
1220x720,426,744
1180x670,425,912
1240x680,425,712
1230x640,424,781
1260x930,424,778
750x700,424,694
1340x610,423,736
700x670,422,575
1180x730,421,631
1220x690,421,677
1260x870,421,735
1220x560,419,844
1240x570,419,863
1010x710,418,717
700x790,417,653
1100x590,415,734
1320x610,415,685
1020x580,414,609
1140x720,414,700
1220x660,414,813
1260x890,414,634
1230x630,413,756
2540x1310,413,645
320x600,413,544
1200x820,412,630
780x750,410,639
1220x670,409,815
1140x650,407,1066
1230x590,407,750
1370x790,407,626
750x730,406,585
1320x660,404,693
1300x680,403,729
1910x900,402,731
830x1040,402,596
1310x770,401,710
720x740,401,618
1250x760,400,672
1020x590,399,696
1290x760,399,690
1320x640,399,664
410x860,397,463
800x1160,397,533
1520x910,396,666
2540x1340,396,597
420x630,396,484
800x330,395,527
1080x730,394,596
1280x560,394,709
1320x650,394,614
1400x650,394,711
1580x710,394,710
1660x900,393,682
1670x940,393,671
1320x780,392,614
1430x640,391,756
1140x580,390,787
1340x770,390,705
1900x1070,390,800
740x740,390,567
1170x710,389,813
1790x940,389,626
340x580,389,516
2610x1330,388,651
1010x650,386,568
1230x680,386,634
1790x900,386,674
420x850,386,481
770x890,386,523
1180x640,385,640
1200x770,384,657
1210x590,384,657
1290x650,384,950
600x860,384,496
1140x750,383,672
1180x720,383,624
1210x680,383,748
1410x650,383,842
680x640,383,551
1160x730,382,712
1220x620,382,652
1430x630,382,709
1100x710,381,628
1270x570,380,687
1280x770,380,626
1330x670,380,773
1370x590,380,733
670x380,380,483
800x1140,380,487
1220x550,379,737
1170x650,378,662
1790x910,378,784
1910x1020,378,636
2540x1290,377,738
1110x690,375,591
1080x520,374,639
1190x660,374,773
1230x620,374,587
1910x920,374,876
1490x900,373,634
230x290,373,515
340x620,373,439
1220x650,372,672
1410x800,372,769
600x920,372,557
1210x740,371,758
1890x950,371,593
1920x1010,370,577
1210x650,369,747
1240x750,369,639
1270x760,369,633
940x950,369,618
1920x920,368,598
670x790,368,624
670x760,367,593
1080x670,366,578
1260x1320,366,705
1210x730,365,620
1160x710,364,662
1190x620,364,633
1230x660,364,690
1200x610,363,724
1300x760,363,607
940x910,363,581
1520x880,361,675
600x790,361,538
1150x550,360,761
1260x850,360,602
390x610,360,492
710x730,360,495
1230x560,358,628
1170x700,357,719
1920x900,357,558
1920x1200,356,400
1350x550,355,556
720x750,355,495
1010x640,354,540
1170x740,354,576
1190x750,354,574
1690x920,354,594
1280x550,353,615
2560x1360,353,594
410x540,353,409
1110x740,352,573
1300x640,352,596
1480x830,352,624
740x710,352,522
1010x600,349,547
1150x710,349,595
1210x750,349,606
1290x660,349,628
1340x600,348,544
1590x760,348,623
1680x820,348,616
1210x690,347,616
1300x650,347,689
1500x700,346,636
1130x710,345,677
1320x630,345,643
1810x920,345,592
1300x670,344,594
1390x670,344,557
1700x1290,344,613
1370x580,343,896
1660x860,343,567
1410x790,342,563
1660x930,342,525
830x1050,342,451
1020x1020,341,372
1170x730,341,601
700x700,341,516
720x760,341,486
1280x880,340,445
1900x1040,340,581
340x630,340,401
1010x730,339,502
1180x650,339,602
1220x640,339,594
1320x620,339,680
1520x800,339,544
1580x1060,339,601
2560x1300,338,606
1010x620,337,576
780x710,337,751
1500x740,335,596
1520x860,335,572
1690x840,334,661
1080x490,333,650
1120x730,333,570
1190x640,333,579
1310x610,333,519
730x740,333,551
1320x790,332,614
1360x800,332,588
1020x710,331,535
1210x560,331,555
720x720,331,528
810x1020,331,415
1280x1610,330,330
1290x620,330,520
1370x880,330,517
940x870,328,614
1010x680,327,593
1040x740,327,569
1200x560,327,636
1210x670,327,636
1280x910,327,466
1140x710,326,574
1170x720,326,584
1170x750,326,537
660x610,326,400
1220x630,325,572
1420x810,325,481
1010x500,324,567
1170x570,324,682
1180x600,324,717
1690x960,324,521
420x770,324,398
780x740,324,502
830x1080,324,476
1260x950,323,522
1160x740,322,478
1360x640,322,574
1900x840,322,651
740x730,322,464
1020x1280,321,394
1900x1080,321,525
360x500,321,439
790x730,321,447
1010x470,320,888
1350x840,320,596
1400x790,320,585
1210x620,319,673
700x820,319,438
1180x860,318,509
1290x610,318,545
1670x920,318,630
740x720,318,680
770x870,318,392
1180x610,317,613
1200x580,317,567
1240x760,317,583
1360x650,317,478
1460x700,317,542
2380x1170,317,762
1010x610,316,576
1020x740,315,480
1110x610,315,562
1190x680,315,602
730x730,315,527
750x690,315,512
1020x540,314,582
1300x770,314,579
1270x1610,313,316
1420x640,313,554
1520x650,313,494
1910x880,313,626
1130x740,312,534
1140x740,312,520
1150x720,312,533
1160x750,312,555
1250x540,312,532
1150x660,311,649
1150x740,311,523
1210x660,311,561
730x710,311,489
1110x680,310,501
1220x570,310,717
1400x810,310,412
1670x870,310,574
1170x620,309,557
1190x630,309,537
1290x770,309,573
1110x750,308,474
1150x730,308,481
1260x510,308,551
1300x620,308,606
830x990,308,465
1910x860,307,721
1910x870,307,543
760x730,307,487
790x740,307,529
940x900,307,516
1480x750,306,550
390x620,306,375
1430x900,305,481
1840x950,305,588
1090x540,304,674
1250x550,304,555
420x740,304,391
1150x630,303,617
1150x700,303,578
1660x870,303,590
2030x950,303,593
1140x640,302,509
1480x870,302,477
1550x900,301,530
1160x720,300,572
1520x830,300,524
1890x900,300,539
760x750,300,448
1140x730,299,533
